contig_id,0,1,2,3,4,5
NODE_309_length_63619_cov_8.319213,3.88423163e+00,-4.30972669e+00,-2.96302421e-01,-6.11214311e-01,1.29142130e-01,2.53459677e-01
NODE_129_length_160323_cov_8.254436,4.72911318e+00,-5.25059976e+00,7.78647773e-01,-3.23817366e-01,4.25514429e-01,3.85346725e-01
NODE_13_length_6591_cov_8.574723,1.80121936e+00,3.63243275e+00,1.30581789e+00,2.04642447e+00,-4.76159028e-01,-1.01589410e+00
NODE_258_length_263280_cov_8.177872,5.09727533e+00,-5.55056279e+00,1.56464235e+00,-2.50606206e-01,9.00718666e-01,6.06596307e-01
NODE_100_length_1535_cov_6.691205,-6.46030416e+00,5.96784413e+00,1.93629434e+00,-3.20604058e-01,-2.93615019e+00,6.99759542e+00
NODE_130_length_3461_cov_7.763941,5.00956718e-01,5.95460891e+00,1.05040484e+00,2.15754948e+00,1.50325521e-01,-4.54654583e-01
NODE_254_length_191233_cov_8.270398,4.89544837e+00,-5.53594002e+00,1.13721982e+00,-8.80123136e-02,3.16787523e-01,4.86277198e-01
NODE_107_length_7609_cov_8.569195,1.28818312e+00,7.49979585e+00,3.41979678e+00,2.83501299e+00,1.76038722e+00,2.94240335e-01
NODE_449_length_1570_cov_6.334395,1.54113765e-01,4.40078240e-01,-5.17299626e+00,-2.78057291e+00,-2.30756485e-01,-2.25723617e-01
NODE_121_length_60582_cov_8.522333,3.82430201e+00,-3.70727029e+00,7.62445230e-02,-1.90431496e-01,-4.76223511e-02,3.17066014e-01
NODE_45_length_1450_cov_32.235863,1.25853754e+00,3.36973788e+00,-4.25722800e-02,7.27193338e-01,9.97332693e-01,-2.34024360e-01
NODE_103_length_20202_cov_8.395357,1.41955620e+00,3.32713328e+00,4.27216496e-01,-1.93602004e-01,-2.52250686e+00,-5.99502866e-02
NODE_27_length_35477_cov_8.181526,3.29308599e+00,-3.05795454e+00,-7.05561492e-01,-4.91683362e-01,-1.45095255e-01,5.41247990e-02
NODE_3_length_15564_cov_8.154202,2.49424770e+00,-1.11936028e+00,-7.15574733e-01,3.12622127e-01,-9.38027826e-01,-5.61986858e-01
NODE_505_length_906976_cov_6.853119,-2.00200192e+01,-2.41984505e+00,4.34904843e-01,1.96997113e+00,5.64199469e-01,-5.65436497e-02
NODE_261_length_321461_cov_8.199894,5.35079222e+00,-6.12777096e+00,1.58222537e+00,-8.53446892e-02,6.04047330e-01,5.21949732e-01
NODE_111_length_80116_cov_8.871636,3.97585736e+00,-1.93626580e+00,1.87624067e+00,7.78400120e-01,6.27011706e-01,9.36424480e-02
NODE_18_length_14422_cov_8.414783,2.36841748e+00,1.14143278e+00,2.25859584e-01,5.08280144e-01,1.14366244e-01,-6.63193630e-01
NODE_188_length_948_cov_28.155064,6.69770708e-01,3.64939945e+00,-9.95934257e-01,7.79315478e-01,2.76114217e-01,6.02668646e-01
NODE_97_length_16779_cov_9.613564,1.38649834e+00,3.08799982e+00,9.89136504e-01,1.30257037e+00,-1.17333030e+00,8.99306803e-01
NODE_30_length_1022_cov_17.723091,4.77780726e-01,4.15454147e+00,-1.28168084e+00,3.25114956e-01,2.90637744e-01,1.81748439e-01
NODE_347_length_1627_cov_5.590043,1.41185092e-01,2.50440703e+00,-2.92176812e+00,-6.72476960e-01,-2.63279055e-02,-4.47906401e-01
NODE_29_length_44540_cov_9.429951,3.51726849e+00,-2.39675833e+00,6.19107845e-01,8.65879870e-02,4.72718522e-01,2.43896213e-01
NODE_94_length_21295_cov_9.556140,2.84620965e+00,3.11369516e-01,1.65709376e+00,1.74043373e+00,-6.89219735e-01,-5.00287657e-01
NODE_460_length_2399_cov_4.216757,5.09171613e-01,2.91850234e+00,-1.91837161e+00,-1.41146892e-01,3.34121785e-01,-4.57079241e-01
NODE_250_length_251161_cov_8.263253,5.05016964e+00,-4.09078273e+00,2.60699120e+00,5.84007248e-01,7.81774146e-01,5.33860590e-02
NODE_36_length_8116_cov_8.142927,1.62966374e+00,3.36957986e+00,1.06903050e+00,1.63509447e+00,-4.17601699e-01,-5.15748186e-01
NODE_53_length_98503_cov_8.154990,4.25298867e+00,-4.84510719e+00,2.01121804e-01,-3.70740025e-01,4.10396105e-02,3.69580230e-01
NODE_115_length_78252_cov_8.512166,3.49368052e+00,-3.68171001e+00,-3.44782167e-01,2.64361212e-02,-5.45239022e-01,8.31478247e-01
NODE_267_length_4676_cov_7.631737,1.02990765e+00,3.20497679e+00,-2.79899463e-01,1.00097848e+00,-3.23871346e-01,-6.32512799e-01
NODE_108_length_1232_cov_16.167208,6.43667835e-01,7.54954655e-01,-3.76414437e+00,-1.35872089e+00,1.58720513e-01,-6.59409146e-01
NODE_86_length_30952_cov_8.371123,2.95898568e+00,9.49916620e-01,2.35221066e+00,1.99187596e+00,-5.04211609e-01,-4.95398633e-01
NODE_15_length_3555_cov_8.369058,7.43897229e-01,5.17075479e+00,1.07923083e+00,2.22565732e+00,-3.89898522e-01,-5.26404800e-01
NODE_260_length_165083_cov_8.801846,4.76910344e+00,-5.08905338e+00,1.06638588e+00,-1.60587684e-01,5.47409309e-01,5.00511860e-01
NODE_216_length_305319_cov_6.901228,-1.81057895e+01,-2.53469446e+00,-4.77616661e-01,1.48838126e+00,-9.72078091e-02,-7.17250390e-02
NODE_123_length_75191_cov_8.369140,3.97870467e+00,-4.34966219e+00,-6.86852982e-03,-3.59191863e-01,-1.71500330e-02,2.29270925e-01
NODE_390_length_121514_cov_8.358864,3.56180449e+00,-2.89287173e-01,2.11921523e+00,-1.87531121e+00,-1.80454250e+00,-9.74049111e-01
NODE_361_length_352602_cov_6.831901,-1.94892394e+01,-3.59570717e+00,-5.38632526e-01,1.34418640e+00,1.93977006e-01,2.69763690e-01
NODE_114_length_4896_cov_18.356821,1.92118792e+00,1.58443261e+00,7.83324015e-02,2.09692106e-01,9.29020092e-01,1.62400972e-01
NODE_246_length_206288_cov_6.775057,-1.69002928e+01,-2.11174986e+00,-8.25330196e-01,1.14638286e+00,-1.73939018e-01,-3.51045637e-01
NODE_106_length_2172_cov_16.183702,1.25231921e+00,-1.12165798e+00,-4.20323122e+00,-1.89825572e+00,-1.04451636e-01,2.28720406e-01
NODE_98_length_5819_cov_7.887266,1.50778435e+00,2.55483849e+00,-2.23538982e-01,1.18129945e+00,-7.71416301e-01,-9.88970631e-01
NODE_157_length_58632_cov_8.156433,3.16395317e+00,-9.61634125e-01,1.05611281e+00,6.83777203e-01,-8.59852259e-01,-1.68689616e-01
NODE_217_length_21883_cov_8.243248,2.60341080e+00,1.90124668e+00,2.09593476e+00,1.60338967e+00,9.52450139e-02,-3.66645263e-01
NODE_69_length_3809_cov_9.583093,1.01067262e+00,4.52095394e+00,1.03320943e+00,1.93264652e+00,-2.41033907e-01,-5.77117393e-01
NODE_173_length_51809_cov_8.202050,3.20831235e+00,-1.92329860e+00,3.66493752e-01,-1.12460212e-01,-8.38416852e-01,1.67042650e-02
NODE_64_length_358694_cov_6.830965,-1.76690103e+01,-2.45228316e+00,-7.26146642e-01,1.12487024e+00,1.80646615e-02,7.54756638e-02
NODE_235_length_90026_cov_8.272466,4.13061640e+00,-4.32599994e+00,2.40558211e-01,-3.41812067e-01,3.00753750e-01,1.25215165e-01
NODE_55_length_1339_cov_15.497386,2.28538039e-01,4.15651176e+00,-1.40490848e+00,-2.13985861e+00,3.66675097e+00,5.14793284e-01
NODE_39_length_339592_cov_8.189162,5.38101846e+00,-5.95980726e+00,1.68335190e+00,-2.23165573e-01,9.00761691e-01,5.84644761e-01
NODE_494_length_527700_cov_6.812331,-1.85068370e+01,-3.59966310e+00,-9.99885705e-01,1.05720743e+00,-1.09519558e-01,-1.89993321e-01
NODE_290_length_1962_cov_6.746177,5.03610500e-01,1.66485909e+00,-3.45432480e+00,-1.57719449e+00,-1.24902620e-01,-3.17089888e-01
NODE_118_length_15438_cov_8.266615,2.33653283e+00,-2.46878043e-01,-2.86629568e-01,3.68097848e-01,-2.62497520e-01,-7.54684922e-01
NODE_236_length_61287_cov_8.171537,3.78283087e+00,-4.13856715e+00,-3.10558473e-01,-2.99000420e-01,-1.12421458e-01,1.44038186e-01
NODE_52_length_81425_cov_8.175524,3.94167880e+00,-2.68749556e+00,1.16220892e+00,2.00122044e-01,6.94496268e-01,2.48280836e-02
NODE_351_length_354039_cov_6.840114,-2.03391779e+01,-3.84366962e+00,-3.02850089e-01,1.46498519e+00,3.24958190e-01,-2.44481851e-01
NODE_489_length_157263_cov_6.771033,-1.93104642e+01,-1.86235775e+00,5.56063266e-01,1.90800321e+00,4.50533863e-01,-3.36054445e-01
NODE_179_length_197611_cov_8.217700,4.85525167e+00,-4.20919025e+00,1.98263110e+00,3.65455054e-01,5.88663438e-01,6.74241046e-02
NODE_89_length_1295_cov_4.794595,-9.87879130e-03,1.08414563e+00,-4.97156579e+00,-1.87991994e+00,-7.93902297e-01,-6.09394325e-01
NODE_500_length_1625_cov_5.125538,-7.79024571e+00,3.77031340e+00,4.36697838e+00,-7.76276228e+00,-1.06214277e-01,-1.56377601e+00
